单词,释义,例句(待补充)
branch,"n.. 分支，树枝，部门，分部; v.. 分支，分岔",""
brand,"n.. 商标，(商品的)牌子；烙印; v.. 给…烙上印迹；铭记",""
breakthrough,"n.. 关键问题的解决，突破，突破性进展",""
breast,"n.. 胸脯，乳房，胸膛",""
breathe,"v.. 呼吸，注入，轻声说，流露（自信等感情）",""
breed,"n.. 品种，种类，类型; v.. (指动物)生育，繁殖",""
brick,"n.. 砖；砖块",""
brilliant,"adj.. 灿烂的，杰出的，卓越的，才华横溢的; n.. 宝石",""
broad,"adj.. 宽广的，明显的，粗俗的，清楚无误的; n.. 女子",""
broadcast,"n.. 广播，广播节目; v.. 广播；播送；播放",""
brochure,"n.. 小册子，资料手册",""
bubble,"n.. 气泡，泡影; v.. 冒泡，起泡，充满...感情",""
buck,"n.. 钱，雄鹿，雄兔，一美元; v.. 抵制，振作，马弓背踢后腿挑起",""
buffet,"n.. (火车站的)饮食柜台，(火车内的)餐车；自助餐; v.. 斗争；连续猛击",""
bulb,"n.. 电灯泡，球茎，球状物",""
bullet,"n.. 子弹，弹丸",""
bump,"adv.. 猛烈的，突然的; n.. 肿块，撞击，表面隆起; v.. 碰撞，提高，颠簸而行; v.. 碰撞，撞击；颠簸前进",""
bunch,"n.. 束，一群，串，捆; v.. 隆起，成束成群，使成一束(或一群等); v.. 集中，挤在一起；使成一束(或一群等)",""
burden,"n.. 负担，责任，装载量，主题; v.. 使烦恼；使烦扰; v.. 烦扰，装载，使负重",""
burnout,"n.. 烧坏，精疲力尽，燃料烧尽",""
burst,"n.. (无释义)",""
bury,"v.. 埋葬，抛弃，专心致志，隐匿",""
butcher,"n.. 屠夫，肉商，刽子手，小贩; n.. 屠夫；肉店；刽子手; v.. 屠宰，滥杀，将某事弄得一团糟",""
button,"n.. 纽扣；扣子; v.. 扣上纽扣，用纽扣装饰",""
cabin,"n.. 小屋，船舱，机舱; v.. 抑制，住在小屋",""
cabinet,"adj.. 内阁的，秘密的; n.. 内阁，橱柜",""
cable,"n.. 缆，电缆，索，电报; v.. 发电报; v.. 发电报，(通过电缆)交流，(用缆绳)固定",""
cafeteria,"n.. 自助餐厅",""
caffeine,"n.. 咖啡因",""
cage,"n.. 笼子，监狱，笼状结构; v.. 关入笼中",""
calculate,"v.. 计算，估计，推测，计划",""
calligraphy,"n.. 书法",""
campaign,"n.. 运动，商业活动；战役; v.. 作战；参加竞选",""
campus,"adj.. 校园的; n.. 校园，大学",""
canal,"n.. 运河；沟渠，水道; v.. 开运河",""
candidate,"n.. 候选人，应试者",""
canteen,"n.. 食堂，水壶",""
capable,"adj.. 能干的，有能力的，有...的可能性",""
capacity,"n.. 能力，容量，容积，职位",""
capsule,"adj.. 压缩的；概要的; n.. 药丸，胶囊；太空舱; vt.. 压缩；简述",""
capture,"n.. 捕获，战利品; v.. 捕获，占领，夺取，吸引",""
carbon,"n.. 碳，复写纸，复本，碳精棒",""
career,"n.. 职业，事业，生涯; v.. 猛冲，飞跑",""
cargo,"n.. 货物，船货",""
carpenter,"n.. 木匠; v.. 制作；当木匠",""
carpet,"n.. 地毯；一层; v.. 在……上铺地毯，把地毯铺在……上；斥责",""
carrier,"n.. 航空母舰，带菌者，行李架，客运公司",""
carve,"v.. 雕刻，切割",""
cashier,"n.. 出纳；收银员",""
cast,"n.. 全体演员;模件;铸造;排泄物; v.. 投掷；扔；抛",""
castle,"n.. 城堡; v.. .置于城堡中，(棋)移动王车易位",""
casual,"adj.. 非正式的，随便的；漫不经心的; n.. 临时工",""
catalogue,"n.. 目录，目录簿; v.. 记载；编入目录，编制目录，在目录里列出价格",""
cattle,"n.. 牛，家畜，畜牲",""
cautious,"adj.. 谨慎的，十分小心的",""
cave,"n.. 洞穴，山洞; v.. 塌落，屈服，挖空",""
cease,"n/v.. 停止，终止",""
cell,"n.. 细胞，电池，单人牢房，蜂房的巢室",""
centimeter,"n.. 公分，厘米（＝1／100米）",""
ceremony,"n.. 仪式，典礼，礼节",""
certificate,"n.. 证书；执照; v.. 认可，批准",""
chain,"n.. 链条；一连串的事物; v.. 捆住，拴起来",""
chairman,"n.. 主席，董事长，会长; v.. 担任...的主席(议长)",""
channel,"n.. 海峡；频道；通道; v.. 引导；开导；形成河道",""
chaos,"n.. 混乱，混沌，无秩序",""
chapter,"n.. 章，篇，回",""
charge,"n.. 费用，电荷，指控，照顾; v.. 充电，要价，控诉，记在账上",""
charm,"n.. 魅力，迷人，吸引力，美貌; v.. 施魔法，（使）着迷",""
chart,"n.. 图表，排行榜，规划图; v.. 绘制图表；记录；制定; v.. 规划，绘制地图，制成图表",""
chase,"n.. 追捕，狩猎，争取; v.. 追赶，追求，追捕，奔跑",""
cheek,"n.. 面颊，脸蛋",""
cheerful,"adj.. 快乐的，高兴的",""
chef,"n.. 厨师，主厨",""
chemical,"adj.. 化学的；化学制品的; n.. 化学制品，化学药品",""
chest,"n.. 胸部，胸腔，箱子，金库",""
chew,"n.. 咀嚼，咀嚼物; n.. 咀嚼；咀嚼物; v.. 咀嚼，咀嚼，深思，嚼碎",""
chief,"adj.. 首要的，最重要的；首席的; n.. 首领；酋长",""
chop,"n.. 砍，剁，排骨; v.. 砍，劈，剁",""
chronic,"adj.. 长期的，慢性的，惯常的",""
church,"adj.. 教堂的; n.. 教堂，礼拜仪式，基督教徒; v.. 把...带到教堂接受某种宗教仪式",""
cigarette,"n.. 香烟，卷烟，烟卷",""
content,"adj.. 满意的; adj.. 满意的，满足的; n.. 内容，含量，目录; n.. 内容；容量; v.. 使...满足，使...安心; v.. 使满意",""
contest,"n.. 比赛，竞争; n.. 比赛，竞赛; n.. 比赛；竞赛; v.. 竞争；竞赛；争论; v.. 驳斥，争取，奋斗",""
context,"n.. 上下文，环境，背景",""
continent,"n.. 大陆，洲，(theContinent)欧洲大陆",""
contract,"n.. 合同，契约，合约，婚约; n.. 契约，合同; v.. 缩小；订合同；感染（疾病）；染上（恶习）; v.. 订合同，缩小，缩短，感染（疾病）",""
contradictory,"adj.. 反对的；矛; adj.. 相互矛盾的; adj.. 矛盾的; n.. 对立物；矛盾因素; n.. 矛盾",""
contrary,"adj.. 相反的，截然不同的，执拗的; n.. 相反，反面; n/adj.. 相反(的)；矛盾(的)",""
contrast,"n.. 对比，差别，对照物，[计算机]反差; v.. 对比，成对照",""
contribute,"v.. 贡献，投稿，捐助",""
contribution,"n.. 贡献，投稿，捐款(赠)",""
controversy,"n.. 争议，(公开的)争论",""
convenience,"n.. 便利，舒适，便利设施，适宜",""
conventional,"adj.. 传统的，常规的，惯例的",""
convert,"n.. 改变宗教（或信仰、观点）的人; n.. 皈依者，改变信仰的人; v.. 转化，兑换，换算，使…改变信仰",""
convince,"v.. 说服，使确信，使信服",""
cope,"n.. 长袍，斗篷状物; v.. 应付，对抗，笼罩，妥善处理",""
core,"n.. 核心，果心，要点; v.. 挖去果核",""
corn,"n.. 玉米，谷物; n.. 谷物；谷粒; v.. 形成(颗粒状)，(用谷物)喂",""
corporate,"adj.. 公司的，共同的，法人的，全体的",""
