abandon|放弃
direction|方向
dirt|污垢
disability|残疾
disabled|残疾的
disadvantage|劣势
disappear|消失
disappointed|失望的
disc|圆盘
discipline|纪律
disclose|揭露
discount|折扣
discourage|使气馁
discovery|发现
discrimination|歧视
discussion|讨论
dismiss|解雇
disorder|混乱
display|展示
dispute|争论
disrupt|扰乱
dissolve|溶解
distance|距离
distant|遥远的
distinct|清晰的
distinction|区别
distinguish|区分
distribute|分发
district|区
disturb|打扰
disturbance|骚乱
dive|潜水
diverse|多样的
division|部门
divorce|离婚
dizzy|头晕的
document|文件
domestic|家庭的
dominant|占主导的
dominate|支配
dormitory|宿舍
dot|点
downstairs|楼下
downtown|市中心
downward|向下的
dozen|一打
draft|草稿
drag|拉拽
drawer|抽屉
drift|漂流
drill|训练
drought|旱灾
drown|溺水
drug|药品
dull|乏味的
duly|按时地
dump|倾倒
durable|耐用的
duration|持续时间
dust|灰尘
dwelling|住所
dynamic|动态的
dynasty|王朝
eager|渴望的
earn|赚取
earnest|认真的
ease|减轻
ecology|生态学
economic|经济的
economical|经济
economy|经济
edge|边缘
edible|可食用的
edition|版本
editor|编辑
educate|教育
effective|有效的
efficient|高效的
elderly|年长的
elect|选举（名词）
election|选举
electrical|电的
electrician|电工
electricity|电
elegant|优雅的
element|元素
elementary|基本的
elevator|电梯
eliminate|消除
embarrassed|尴尬的
embryo|胚胎
emerge|出现
emission|排放（物）
emit|释放
emotion|情感
emphasis|强调
origin|起源；源头（n.）
originate|起源于；首创（v.）
outcome|结果；结局（n.）
outer|外部的；远离中心的（adj.）
outline|大纲；轮廓（n.）
outlook|展望；世界观（n.）
outstanding|未完成的；杰出的（adj.）
overcome|克服；战胜（v.）
overlook|忽视；俯瞰（v.）
overseas|海外的；在国外（adv./adj.）
overwhelming|压倒性的；势不可挡的（adj.）
owe|欠（钱）；归功于（v.）
ownership|所有权；产权（n.）
oxygen|氧气（n.）
package|包裹；一揽子计划（n./v.）
painful|痛苦的；令人不适的（adj.）
pajama|睡衣（n.）
panel|面板；专家组（n.）
panic|恐慌；惊慌失措（n./v.）
parade|游行；炫耀（n./v.）
paradise|天堂；极乐之地（n.）
parameter|参数；规范（n.）
parcel|包裹；小包（n.）
parking|停车；停车位（n.）
participant|参与者；参赛者（n.）
participate|参与；参加（v.）
particle|粒子；微粒（n.）
particular|特定的；挑剔的（adj.）
passion|酷爱；热情（n.）
pastime|消遣；娱乐活动（n.）
patent|专利；专利品（n./adj.）
patience|耐心；忍耐力（n.）
patriotic|爱国的；有爱国热忱的（adj.）
pause|暂停；停顿（n./v.）
pave|铺（路）；铺设（v.）
pedestrian|行人；步行者（n.）
peer|同龄人；凝视（n./v.）
penalty|处罚；罚金（n.）
percentage|百分比；百分率（n.）
performance|表现；表演（n.）
perfume|香水；芳香（n./v.）
periodical|周期的；定期的（adj.）
permanent|永久的；长期不变的（adj.）
permission|允许；许可（n.）
permit|允许；许可证（v./n.）
perseverance|毅力；不屈不挠的精神（n.）
persevere|坚持不懈；锲而不舍（v.）
persist|持续存在；执意（v.）
personality|人格；个性（n.）
perspective|远景；景观（n.）
persuade|说服；劝说（v.）
pessimistic|悲观的；厌世的（adj.）
pesticide|农药；杀虫剂（n.）
petrol|汽油（n.）
petroleum|石油；原油（n.）
phase|阶段；时期（n.）
phenomenon|现象；罕见的人或事（n.）
philosophy|哲学；哲理（n.）
photographer|摄影师；拍照者（n.）
phrase|短语；词组（n./v.）
physician|内科医生；医师（n.）
plain|清楚的；平原（adj./n.）
platform|站台；平台（n.）
plug|插头；堵塞（n./v.）
plummet|暴跌；急剧下降（v./n.）
plunge|投入；暴跌（v./n.）
poetry|诗歌；诗意（n.）
poison|毒药；毒害（n./v.）
poisonous|有毒的；有害的（adj.）
pole|杆；极点（n.）
policy|政策；方针 (n.)
political|政治的；政党的 (adj.)
pollution|污染；污染物（n.）
pond|池塘；蓄水池（n.）
port|港口；口岸（n.）
portable|便携的；手提式的（adj.）
porter|搬运工；门房（n.）
portion|部分；份额（n./v.）
pose|摆姿势；造成（v./n.）
possess|拥有；具有（v.）
possibility|可能性；机会 (n.)
postage|邮费；邮资 (n.)
poster|海报；宣传画 (n.)
postpone|推迟；延期 (v.)
potential|潜在的；潜力（adj./n.）
poverty|贫穷；贫困（n.）
powerful|强大的；强有力的（adj.）
practical|实际的；实用的（adj.）
pray|祈祷；祈求（v./n.）
precisely|精确地；恰好 (adv.)
predator|捕食者；掠夺者 (n.)
predict|预测；预言（v.）
preference|偏爱；优先选择（n.）
premier|首相；首要的（n./adj.）
preparation|准备；预备工作（n.）
presence|出席；存在（n.）
presentation|演示；报告；外观（n.）
presently|目前；不久（adv.）
preserve|保护；保存；果酱（v./n.）
pretend|假装；佯装（v.）
prevalence|流行；普遍存在（n.）
prevent|预防；阻止（v.）
preview|预习；研习（v.）
principal|校长；首要的；本金（n./adj.）
principle|原则；原理；准则（n.）
prior|先前的；优先的（adj./adv.）
priority|优先权；优先事项（n.）
prison|监狱；监禁（n.）
procedure|程序；步骤；手续（n.）
process|过程；加工（n./v.）
productive|多产的；富有成效的（adj.）
productivity|生产力；生产效率（n.）
profession|职业；行业（n.）
professional|专业的；专业人士（adj./n.）
professor|教授（n.）
profitable|有利可图的；盈利的（adj.）
profound|深刻的；渊博的（adj.）
prohibit|禁止；阻止（v.）
promote|促进；晋升（v.）
pronunciation|发音；读音（n.）
property|财产；特性（n.）
proponent|支持者；拥护者（n.）
proportion|比例；占比（n.）
proposal|提议；提案（n.）
propose|提议；求婚（v.）
prospect|前景；展望（n.）
prospective|潜在的；预期的（adj.）
protein|蛋白质（n.）
protest|抗议；反对（n./v.）
province|省；领域；职权范围（n.）
psychology|心理学；心理状态（n.）
publication|出版物；出版；发表（n.）
pump|泵；抽水；打气（n./v.）
pupil|瞳孔；小学生（n.）
purchase|购买；采购；购置物（n./v.）
pure|纯的；纯净的；纯粹的（adj.）
pursue|追求；致力于；继续（v.）
puzzle|谜；智力游戏；使困惑（n./v.）
qualification|资格；学历；限定条件（n.）
qualify|（使）合格；取得资格；限定（v.）
quality|质量；品质；优质的（n./adj.）
quantity|数量；数额；大量（n.）
queen|女王；王后；（同类事物中）首屈一指的（n.）
questionnaire|问卷；调查表（n.）
queue|队列；长队；排队（n./v.）
quit|离开；辞职；停止（v.）
quiz|小测验；问答比赛（n./v.）
quote|引用；报价；引号（v./n.）
racial|种族的；人种的（adj.）
racism|种族的；人种的（adj.）
radar|雷达；无线电探测器（n.）
radiation|辐射；放射线；辐射能（n.）
random|随机的；随意的（adj.）
range|范围；一系列；变动范围（n./v.）
rank|等级；军衔；把…… 分等级（n./v.）
rare|罕见的；稀有的；半熟的（adj.）
rate|比率；速度；评价（n./v.）
rating|评分；等级；收视率（n.）
ratio|比率；率（n./v.）
rational|理性的；明智的；合理的（adj.）
ray|射线；光线；光束（n.）
react|反应；作出反应；回应（v.）
reaction|反应；回应；化学反应（n.）
readily|容易地；乐意地；迅速地（adv.）
realistic|现实的；实际的；逼真的（adj.）
reality|现实；实际情况；真实（n.）
reasonable|合理的；公道的；通情达理的（adj.）
rebellious|叛逆的；反抗的；桀骜不驯的（adj.）
recall|回忆；回想；召回（v./n.）
receipt|收据；收条（n.）
recently|最近；近来（adv.）
reception|接待；招待会；接收效果（n.）
receptionist|接待员；前台（n.）
recipe|食谱；配方；秘诀（n.）
recite|背诵；吟诵；列举（v.）
reclaim|回收利用；开垦；认领（v.）
recognition|承认；认可；识别（n.）
record|记录；唱片；档案（n./v.）
recover|恢复；康复；找回（v.）
recreation|娱乐；消遣；休闲活动（n.）
recruit|招募；聘用；新兵（v./n.）
refer|提及；参考；提交（v.）
reference|参考；参照；推荐信（n.）
reflect|反射；反映；深思（v.）
reform|改革；改良；改正（n./v.）
refugee|难民；避难者（n.）
refund|退款；退还（v./n.）
regard|认为；看待；尊重（v./n.）
regardless|不管怎样；无论如何（adv.）
region|地区；区域；行政区（n.）
register|登记；注册；挂号（v./n.）
regulate|调节；控制；管理（v.）
regulation|规则；条例；管理（n.）
rehearsal|排练；彩排；预演（n.）
reject|拒绝；排斥；驳回（v./n.）
release|释放；发布；发行（v./n.）
relevant|相关的；切题的（adj.）
reliable|可靠的；可信赖的（adj.）
relief|减轻；宽慰；救济（n.）
relieve|减轻；缓解；解除（v.）
religion|宗教；宗教信仰（n.）
religious|宗教的；虔诚的（adj.）
reluctant|不情愿的；勉强的（adj.）
rely|依赖；依靠；信赖（v.）
remark|评论；谈论；言论（v./n.）
remarkable|显著的；非凡的；引人注目的（adj.）
remote|遥远的；偏远的；遥控的（adj.）
remove|移除；搬走；消除（v.）
renaissance|文艺复兴；复兴（n.）
renew|更新；续期；重新开始（v.）
rent|租金；租用；出租（n./v.）
repeat|重复；复述；重演（v./n.）
replace|取代；替换；更换（v.）
replicate|复制；复刻；重现（v.）
represent|代表；象征；描绘（v.）
representative|代表；典型的；有代表性的（n./adj.）
reproduce|繁殖；生殖；复制（v.）
republic|共和国；共和政体（n.）
reputation|名声；名誉；声誉（n.）
request|请求；要求；申请书（n./v.）
require|需要；要求；规定（v.）
rescue|营救；救援（v./n.）
resemble|像；类似于（v.）
reservation|预订；保留意见（n.）
reserve|预订；保留；储备（v./n.）
resident|居民；常住的（n./adj.）
resign|辞职；辞去；顺从（v.）
resilient|有韧性的；适应力强的（adj.）
resist|抵抗；忍住；抗拒（v.）
resistance|抵抗；阻力；电阻（n.）
resistant|抵抗的；耐…… 的（adj.）
resolution|决议；决心；分辨率（n.）
resolve|解决；决心；分解（v./n.）
resort|求助；诉诸；度假胜地（v./n.）
resource|资源；财力；智谋（n.）
respective|各自的；分别的（adj.）
respond|回应；作出反应；应答（v.）
response|回应；答复；反应（n.）
responsibility|责任；职责；义务（n.）
restore|恢复；修复；归还（v.）
restrict|限制；约束；限定（v.）
resume|恢复；重新开始；简历（v./n.）
retail|零售；零卖（n./v.）
retain|保持；保留；持有（v.）
retire|退休；退役；退出（v.）
reveal|揭示；透露；展现（v.）
revenue|收入；税收；收益（n.）
reverse|反向；颠倒；逆转（v./n./adj.）
revise|修订；修改；复习（v.）
revolutionary|革命的；突破性的；革命者（adj./n.）
revolve|旋转；围绕（v.）
reward|奖励；报酬；回报（v./n.）
rhythm|节奏；韵律；规律（n.）
riddle|谜；谜语；不解之谜（n.）
ridiculous|荒谬的；可笑的（adj.）
rigid|僵硬的；死板的；严格的（adj.）
ripe|粗糙的；不平的（adj.）
ritual|仪式；典礼；例行的（n./adj.）
rival|竞争对手；与…… 匹敌（n./v.）
roar|吼叫；咆哮；轰鸣（v./n.）
roast|烤；烘；炙烤的（v./n./adj.）
rob|抢劫；盗取；剥夺（v.）
roll|滚动；卷；名单（v./n.）
romantic|浪漫的；空想的；浪漫主义的（adj.）
roof|屋顶；顶部；覆盖物（n.）
root|根；根源；生根（n./v.）
rough|粗糙的；粗略的；粗暴的（adj./v.）
route|路线；航线；途径（n.）
routine|常规；惯例；例行的（n./adj.）
royal|皇家的；王室的；盛大的（adj.）
rub|摩擦；揉搓；擦破（v.）
rubber|橡胶；橡皮；橡胶制品（n.）
rude|粗鲁的；无礼的；未开化的（adj.）
ruin|毁灭；废墟；使破产（v./n.）
rural|乡村的；农村的（adj.）
sacred|神圣的；庄严的（adj.）
sacrifice|牺牲；献祭；奉献（n./v.）
sail|航行；起航；帆（v./n.）
salary|薪水；薪金（n.）
salty|咸的；含盐的；辛辣的（adj.）
sample|样本；样品；抽样（n./v.）
sanitation|卫生；环境卫生；公共卫生（n.）
satellite|卫星；人造卫星；附属物（n.）
satisfaction|满足；满意；欣慰（n.）
satisfactory|令人满意的；符合要求的（adj.）
saucer|碟子；茶托；浅碟（n.）
sausage|香肠；腊肠（n.）
scale|刻度；规模；天平；攀登（n./v.）
scan|扫描；浏览；细看（v./n.）
scarce|稀缺的；罕见的；不足的（adj.）
scatter|分散；散开；撒播（v.）
scenery|风景；自然风光；舞台布景（n.）
schedule|日程表；计划表；安排（n./v.）
scheme|计划；方案；阴谋（n./v.）
scholar|学者；读书人；奖学金获得者（n.）
scholarship|奖学金；学术研究（n.）
scientific|科学的；系统的；符合科学规律的（adj.）
scope|范围；领域；眼界（n.）
scratch|划痕；擦伤；刮擦；抓挠（n./v.）
scream|尖叫；惊呼；尖叫着说（v./n.）
script|剧本；脚本；手稿；笔迹（n.）
secondary|次要的；中学的（adj.）
secretary|秘书；书记；大臣（n.）
section|部分；章节；部门（n.）
sector|部门；领域；行业（n.）
security|安全；保障；证券（n.）
seed|种子；籽；播种（n./v.）
seek|寻求；寻找；谋求（v.）
seize|抓住；夺取；扣押（v.）
select|选择；挑选；精选的（v./adj.）
selfish|自私的；利己的（adj.）
semester|学期；半年（n.）
senior|高级的；年长的；长辈（adj./n.）
sensational|轰动的；耸人听闻的；极好的（adj.）
sensitive|敏感的；灵敏的；易受伤害的（adj.）
sentimental|感伤的；多愁善感的；怀旧的（adj.）
sequence|序列；顺序；一连串（n.）
series|系列；连续；丛书（n.）
serve|服务；招待；服役（v.）
session|会议；会期；学年（n.）
setting|环境；背景；设置（n.）
settle|定居；解决；安顿（v.）
severe|严重的；严厉的；剧烈的（adj.）
shallow|浅的；肤浅的（adj./v.）
shape|形状；外形；塑造（n./v.）
sharp|锋利的；急剧的；准时地（adj./adv.）
sheet|薄片；纸张；床单（n.）
shelter|避难所；庇护；躲避（n./v.）
shift|转移；轮班；转变（n./v.）
shore|岸边；海滨；支撑（n./v.）
shortage|短缺；不足；缺乏（n.）
shortcoming|缺点；短处；缺陷（n.）
shortly|立刻；不久；简短地（adv.）
shrink|收缩；缩水；退缩（v./n.）
sidewalk|人行道（n.）
sigh|叹息；叹气；叹息声（n./v.）
sight|视力；景象；看见（n./v.）
sightseeing|观光；游览（n.）
signal|信号；暗号；示意（n./v.）
signature|签名；署名；识别标志（n.）
significance|意义；重要性；含义（n.）
significant|显著的；重要的；有意义的（adj.）
silence|沉默；寂静；使沉默（n./v.）
simplify|简化；精简；使简明（v.）
simulation|模拟；仿真；模拟操作（n.）
simultaneously|同时地；同步地（adv.）
sincere|真诚的；诚挚的；真挚的（adj.）
site|地点；场所；网站（n./v.）
skim|浏览；略读；撇去（v.）
skin|皮肤；外皮；剥皮（n./v.）
sleepy|困倦的；昏昏欲睡的；冷清的（adj.）
slice|薄片；切片；切下（n./v.）
slide|滑动；滑落；幻灯片（v./n.）
slight|轻微的；纤细的；轻视（adj./v./n.）
slightly|轻微地；稍微（adv.）
slogan|标语；口号（n.）
slope|斜坡；斜面；倾斜（n./v.）
smash|打碎；猛撞；粉碎（v./n.）
smog|烟雾；雾霾（n.）
smooth|光滑的；平稳的；使平滑（adj./v.）
sneeze|打喷嚏（v./n.）
socialist|社会主义者；社会主义的（n./adj.）
software|软件；计算机程序（n.）
solar|太阳的；太阳能的（adj.）
solid|固体；坚固的；可靠的（n./adj.）
solution|解决办法；溶液（n.）
sorrow|悲伤；懊悔；伤心事（n.）
sort|种类；分类；整理（n./v.）
soul|灵魂；心灵；精髓（n.）
sour|酸的；发酵的；使变酸（adj./v.）
source|来源；出处；源头（n.）
souvenir|纪念品；纪念物（n.）
sow|播种；散布；母猪（v./n.）
specialist|专家；专科医生（n.）
species|物种；种类（n.）
specific|具体的；明确的；特定的（adj./n.）
spill|溢出；泼洒；洒落（v./n.）
spite|恶意；怨恨；不顾（n./prep.）
splendid|壮丽的；极好的；辉煌的（adj.）
split|劈开；分裂；分歧（v./n.）
spoil|损坏；溺爱；战利品（v./n.）
spokesman|发言人；代言人（n.）
spot|斑点；地点；认出（n./v.）
stable|稳定的；稳固的；马厩（adj./n.）
stadium|体育馆；体育场（n.）
stair|楼梯；梯级（n.）
stare|凝视；盯着看（v./n.）
starve|挨饿；饿死；渴望（v.）
statement|声明；陈述；说法（n.）
stationery|文具；信纸；办公用品（n.）
statistics|统计学；统计数据（n.）
statue|雕像；塑像；铸像（n.）
status|身份；地位；状态（n.）
steady|稳定的；平稳的；使稳定（adj./v.）
steak|牛排；肉排；鱼排（n.）
steam|蒸汽；水蒸气；蒸发（n./v.）
steep|陡峭的；急剧的；过高的（adj.）
steer|驾驶；引导；操纵（v.）
stem|茎；干；起源于（n./v.）
stimulate|刺激；激励；促进（v.）
stir|搅拌；搅动；激起（v./n.）
stock|库存；股票；储备（n./v.）
stove|炉子；火炉；厨灶（n.）
straightforward|直截了当的；坦率的；简单的（adj.）
strait|海峡；困境；狭窄的（n./adj.）
strand|Strand （海滨）；缕；使搁浅（n./v.）
strategy|策略；战略；计谋（n.）
straw|稻草；麦秆；吸管（n.）
strength|力量；力气；优势（n.）
strengthen|加强；巩固；使坚强（v.）
stretch|拉伸；伸展；延伸（v./n.）
strike|罢工；击打；打动（v./n.）
string|细绳；弦；一串（n./v.）
strip|条；带；剥去；剥夺（n./v.）
strive|努力；奋斗；力争（v.）
structure|结构；构造；体系（n./v.）
studio|工作室；演播室；画室（n.）
stuff|东西；材料；填满（n./v.）
submit|提交；呈递；屈服（v.）
subscribe|订阅；同意；捐助（v.）
subsequent|随后的；后来的（adj.）
substance|物质；实质；主旨（n.）
substantial|大量的；实质的；坚固的（adj.）
substitute|替代品；代替；取代（n./v.）
suburb|郊区；城郊；边缘地带（n.）
succession|连续；继承；一连串（n.）
sufficient|足够的；充足的；充分的（adj.）
suicide|自杀；自取灭亡（n./v.）
sum|总和；金额；总结（n./v.）
summarise|总结；概述；概括（v.）
sunlight|阳光；日光（n.）
sunset|日落；傍晚；晚霞（n.）
superb|极好的；卓越的；高质量的（adj.）
superior|上级的；更好的；上级（adj./n.）
supervise|监督；管理；指导（v.）
supervisor|监督者；主管；导师（n.）
supplement|补充；增补；附录（n./v.）
supply|供给；供应；物资（n./v.）
surf|冲浪；浏览；海浪（v./n.）
surge|激增；涌动；汹涌（n./v.）
surgeon|外科医生（n.）
surgery|外科手术；手术室（n.）
surround|包围；环绕；围绕（v.）
surrounding|周围的；附近的；环境（adj./n.）
suspect|怀疑；猜想；嫌疑犯（v./n.）
suspend|暂停；中止；悬挂（v.）
sustain|维持；支撑；承受（v.）
swallow|吞咽；吞没；燕子（v./n.）
sweat|出汗；汗水（v./n.）
swing|摇摆；摆动；秋千（v./n.）
switch|开关；转换；切换（v./n.）
symbol|象征；符号；标志（n./v.）
sympathy|同情；同情心；同感（n.）
symptom|症状；征兆；表征（n.）
system|系统；体系；制度（n.）
tablet|药片；平板电脑；碑（n.）
tackle|处理；解决；用具（v./n.）
tale|故事；传说；叙述（n.）
tame|驯服的；温和的；驯养（adj./v.）
target|目标；靶子；瞄准（n./v.）
tear|眼泪；撕破；撕裂（n./v.）
technique|技巧；技术；工艺（n.）
teenager|青少年；十几岁的孩子（n.）
temple|寺庙；神殿；太阳穴（n.）
